user_id,user_name,user_performance_tier
1,kaggleteam,5.0
368,antgoldbloom,2.0
381,iguyon,2.0
383,davidstephan,0.0
384,gabewarren,0.0
385,demonjosh,0.0
386,brentshepherd,0.0
387,nicholasgruen,0.0
388,vaibhavsrivastava0,0.0
389,anandjeyahar,1.0
390,tonysutton,0.0
391,adrianstratulat,0.0
392,jmeynet,3.0
393,javiermares,0.0
394,m4xl1n,1.0
395,demetriszeinalipour,0.0
396,achim396,0.0
397,gdupont,1.0
398,rold2007,1.0
399,hugo399,1.0
400,john400,0.0
402,martijnwiertz,0.0
403,nitishmathew,0.0
404,raymond,0.0
405,johnstachurski,0.0
406,patrickmartin0,1.0
407,felicerando,0.0
408,marco408,0.0
409,deepakdatascience,0.0
410,kaizokou,0.0
411,jianli0,0.0
412,wilsta,1.0
413,andreweddy,0.0
414,smitashreechoudhury,0.0
415,jan415,0.0
416,silence416,0.0
417,maxqld,2.0
418,kuoweihsu,0.0
419,udaysw,0.0
420,rogerbalakrishnan,0.0
421,dremovd,3.0
422,harrisaarikoski,1.0
423,jesse423,0.0
424,gregwerner,2.0
425,grzesiek,0.0
430,aless430,0.0
431,alexandra,0.0
432,susana0,0.0
433,fernando0,0.0
434,eric434,0.0
436,zachwalz,0.0
437,soumithra,0.0
440,mehmetatar,0.0
441,ranjani,0.0
442,dminer75,0.0
443,dwedding,2.0
444,marcossouza,0.0
445,munishgopal,0.0
446,pasi446,0.0
447,joanna,0.0
448,willroscoe,0.0
449,andrewceber,0.0
450,meravbloch0,0.0
451,acarter,2.0
452,subratnanda,0.0
453,leokury,1.0
454,richardmaher0,1.0
455,dorisspielthenner,0.0
456,johnallsopp,0.0
457,feiyang0,0.0
458,ashwin,0.0
459,hkawakat,0.0
460,asdf99,1.0
461,rustam0,1.0
462,russellweighton,0.0
463,andrewcharles,1.0
464,prdeepak,1.0
465,benhosken,0.0
466,thomas,0.0
467,paulgeorge,0.0
468,grant468,0.0
469,david469,0.0
470,david1,0.0
